Mem,Freq,Offset,ID,CALL,Tone,Tone use,Comment
1,224.480,-,RPT-21,N7JN,104,TX-RX,CONNIE REPEATER 
2,222.880,+,REV-21,N7JN,104,TX ,REVERSE 
3,224.480,,DIR-21,,104,TX-RX,DIRECT (SIMPLEX) 
10,223.500,,TAC-20,,PL-67,TX,NATIONAL SIMPLEX
11,223.480,,TAC-21,,PL-67,TX,
12,223.520,,TAC-22,,PL-67,TX,
13,222.400,,TAC-23,,PL-67,TX,
14,224.000,,TAC-24,,PL-67,TX,
15,223.420,,TAC-25,,PL-103.5,TX,STATEWIDE PRIMARY 
16,223.440,,TAC-26,,PL-103.5,TX,STATEWIDE ALTERNATE 
30,223.780,,NET-21,,,,RMS PKT: N7JN-10/DIGI/KF7FIT
31,223.660,,NET-22,,,,AIRMAIL
32,223.400,,NET-23,,,,AIRMAIL
33,223.620,,NET-24,,,,AIRMAIL
50,223.860,,MED-21,W7MBY,PL-103.5,TX ,HOSPITAL NET REPEATER
51,224.120,-,TIGRMT,K7LED,PL-103.5,TX ,
52,224.240,-,BLYN,N7NFY,PL-103.5,TX ,
53,224.300,-,VNCUVR,VE7RPT,CS *,,
54,224.500,-,VICTRIA,VE7RGP,CS *,,
55,224.600,-,BRNBY21,VE7NYE,PL-127.3,TX ,
56,224.660,-,GOLD-21,W7UFI,PL-103.5,TX ,Gold Mt.
57,224.780,-,LYMN-21,N7IPB,PL-103.5,TX ,Lyman Hill
58,224.860,-,KING21,N7FYU,PL-103.5,TX ,
59,224.880,-,MAPLRIG,VE7RMR,CS *,,
60,224.920,-,SURREY,VE7IFI,CS *,,
61,224.960,-,BRNABY22,VE7VYL,CS *,,
62,224.540,-,VUE-21,WA6MPG,PL-67,TX,VUSARIO
63,224.160,-,LOOK-21,NC7Q,PL-156.7,TX,HOSPITAL LINK TO LOOK-42
