Mem,Freq,Offset,ID,Call,Tone,tone use,Comments
1,146.700,-,RPT-11,N7JN,PL-131.8,TX-RX,SJCARS REPEATER 
2,146.100,+,REV-11,,PL-131.8,TX ,SJCARS REVERSE 
3,146.700,,DIR-11,,PL-131.8,TX-RX,SJCARS DIRECT (SIMPLEX)
4,146.700,,CALL11,N7JN,PL-141.3,TX-RX,SJCARS CALLUP 
5,145.250,-,RPT-12,N7JN,,,SJCARS D-STAR REPEATER 
6,146.250,+,REV-12,,,,SJCARS D-STAR REVERSE 
7,145.250,,DIR-12,,,,SJCARS D-STAR SIMPLEX
10,146.520,,TAC-10,,PL-131.8,TX,NATIONAL SIMPLEX 
11,144.310,,TAC-11,,PL-131.8,TX,
12,146.500,,TAC-12,,PL-131.8,TX,repeater channel 8 output
13,146.540,,TAC-13,,PL-131.8,TX,"Whatcom, King, Island, Blaine"
14,145.530,,TAC-14,,PL-131.8,TX,
15,146.420,,TAC-15,,PL-131.8,TX,repeater channel 2 output
16,147.500,,TAC-16,,PL-131.8,TX,Stanwood-Camano Is. ****
17,147.400,,TAC-17,,PL-131.8,TX,repeater channel 1 input
18,146.460,,TAC-18,,PL-103.5,TX,STATEWIDE PRIMARY **
19,146.480,,TAC-19,,PL-103.5,TX,STATEWIDE ALTERNATE ***
30,144.990,,NET-11,,,,AIRMAIL & PACKET SJCARS NET
31,144.950,,NET-12,,,,AIRMAIL
32,145.630,,NET-13,,,,AIRMAIL
33,145.690,,NET-14,,,,RMS PKT  N7NIX-10 
34,144.970,,NET-15,,,,AIRMAIL
35,144.910,,NET-16,,,,AIRMAIL
36,144.930,,NET-17,,,,AIRMAIL
37,145.610,,NET-18,,,,AIRMAIL
50,145.130,-,PT-ANG,WF7W,PL-100.0,,PORT ANGELES 
51,145.190,-,LYMAN1,N7GDE,PL 127.3,,Lyman Hill
52,145.230,-,SUMAS,W7BPD,PL-103.5,,SUMAS MT. 
53,146.620,-,GOLD11,WW7RA,PL-103.5,,GOLD MOUNTAIN: Unusable due to Cdn on 146.610 PL 110.9
54,146.740,-,CONY11,K7SKW,PL-103.5,,MT. CONSTITUTION 
55,,,,,,,DECOMISSIONED
56,146.860,-,OAK-HB,W7AVM,PL-127.3,,OAK HARBOR 
57,146.920,-,GRANIT,WA7DEM,PL-123.0,,Granite Falls
58,147.160,+,KING,K7SKW,PL-103.5,,KING MT. IRLP-3276
101,443.450,+,RPT-41,N7JN,PL-103.5,TX-RX.,SJCARS REPEATER 
102,448.450,-,REV-41,N7JN,PL-103.5,TX,REVERSE 
103,443.450,,DIR-41,,PL-103.5,TX-RX.,DIRECT (SIMPLEX) 
104,442.463,+5 MHz,RPT-42,N7JN,,,D-STAR REPEATER
105,447.463,-5 MHz,REV-42,,,,D-STAR REPEATER
106,442.463,,DIR-42,N7JN,,,D-STAR REPEATER
110,446.000,,TAC-40,,PL-156.7,TX,NATIONAL SIMPLEX 
111,446.500,,TAC-41,,PL-156.7,TX,
112,441.000,,TAC-42,,PL-156.7,TX,
113,441.500,,TAC-43,,PL-156.7,TX,
114,445.825,,TAC-44,,PL-103.5,TX,STATEWIDE PRIMARY
115,445.800,,TAC-45,,PL-103.5,TX,STATEWIDE ALTERNATE 
131,441.500,,NET-41,,,,AIRMAIL PACKET SHARED C/ VOICE
132,445.000,,NET-42,,,,AIRMAIL
133,439.900,,NET-43,,,,AIRMAIL
134,439.950,,NET-44,,,,AIRMAIL
140,442.400,+,BLAINE,W7UMH,PL-107.2,TX,LYMAN 
141,442.800,+,LYMN-41,N7NFY,PL-123,TX,Lyman Hill
142,443.750,+,SQAL-41,WA7ZWG,PL-103.5,TX,Squalicum Mt.
143,444.050,+,CONY41,K7SKW,PL-103.5,TX,MT. CONSTITUTION. 
144,444.300,+,BUCK42,WA7WKT,PL-103.5,TX,OP'S-1 ALTERNATE 
145,444.500,+,OPS-1,WA7ZUS,PL-103.5,TX,OPS-1 PRIMARY -  LYMAN 
146,444.775,+,PT-ANG,KJ7XE,PL-103.5,TX,PORT ANGELES 
147,442.250,+,LOOK42,NC7Q,PL-156.7,TX,HOSPITAL LINK TO LOOK-21
148,443.475,+,LOPZ41,KD7KAB,PL-162.2,TX,Lopez
149,444.925,+,SURV41,VE7RWS,Pl-100,TX,Survey Mt.
150,441.950,+,BUCK43,K5IN,PL-97.4,TX,Buck Mt - 220 intertie
