Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1, CONIE2,224.48,-,1.6,TSQL,103.5,103.5,23,NN,FM,25,,"SJCARS Rpt OPS-1 BACKUP #2, Mt. Constitution",N7JN,,,
2, REV-21,222.88,+,1.6,Tone,103.5,103.5,23,NN,FM,25,,SJCARS Reverse,,,,
3, DIR-21,224.48,,0,TSQL,103.5,103.5,23,NN,FM,25,,SJCARS Direct (simplex),,,,
10, TAC-20,223.5,,0,Tone,67,67,23,NN,FM,25,,National Simplex,,,,
11, TAC-21,223.48,,0,Tone,67,67,23,NN,FM,25,,"Watcom Unified Resource Net",,,,
12, TAC-22,223.52,,0,Tone,67,67,23,NN,FM,25,,,,,,
13, TAC-23,222.4,,0,Tone,67,67,23,NN,FM,25,,,,,,
14, TAC-24,224.0,,0,Tone,67,67,23,NN,FM,25,,,,,,
15, TAC-25,223.42,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Primary,,,,
16, TAC-26,223.44,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Alternate,,,,
17, HPSX2,223.44,,0,Tone,162.2,162.2,23,NN,FM,25,,DMCC,,,,
29, APRS21,223.6,,0,,88.5,88.5,23,NN,FM,25,,9600 baud APRS,,,,
30, NET-21,223.78,,0,,88.5,88.5,23,NN,FM,25,S,"N7JN Vusario, WL2K Gateway KF7FIT-10",,,,
31, NET-22,223.66,,0,,88.5,88.5,23,NN,FM,25,,Packet,N7JN-11,,,
32, NET-23,223.4,,0,,88.5,88.5,23,NN,FM,25,,Packet,,,,
33, NET-24,223.62,,0,,88.5,88.5,23,NN,FM,25,,Packet,,,,
34, HSPPK2,223.46,,0,,88.5,88.5,23,NN,FM,25,,"DMCC P2P Winlink (Secondary)",,,,
50, MED-21,223.86,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Hospital net repeater,W7MBY,,,
51, TIGR21,224.12,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Tiger Mt.,K7LED,,,
52, BLYN21,224.24,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Haystack (was Blyn)",N7NFY,,,
53, VANC21,224.3,-,1.6,,127.3,127.3,23,NN,FM,25,,"CS* Vancouver, BC",VE7RPT,,,
54, VICT21,224.5,-,1.6,,127.3,127.3,23,NN,FM,25,,"CS* Victoria, BC",VE7RGP,,,
55, BRNBY2,224.6,-,1.6,Tone,127.3,127.3,23,NN,FM,25,,"Burnaby, BC",VE7NYE,,,
56, GOLD21,224.66,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Gold Mt.,N7IPB,,,
57, ANGL21,224.06,-,1.6,Tone,107.2,107.2,23,NN,FM,25,,Port Angeles,W6MPD,,,
58, KING-2,224.86,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,King Mt.,N7FYU,,,
59, MAPL-2,224.88,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Maple Ridge, BC",VE7RMR,,,
60, SUREY2,224.92,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Coquitlem, BC",VE7IFI,,,
61, BRNBY2,224.96,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Burnaby, BC",VE7VYL,,,
62, VUE-21,224.54,-,1.6,Tone,67.0,67.0,23,NN,FM,25,,Vusario,WA6MPG,,,
63, LOOK-2,224.16,-,1.6,Tone,156.7,156.7,23,NN,FM,25,,Hospital link to LOOK-42,NC7Q,,,
64, LYMN-2,224.78,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Lyman Hill, link to WETNET",N7RIG,,,
65, HAY-21,224.58,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Haystack, link to WETNET",W7WRG,,,
67, CAMNO2,223.88,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Camano Island,W7PIG,,,
68, SMOKY2,224.38,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Smokey Point,WA7DEM,,,
69, SUREY2,223.96,-,1.6,Tone,100.0,100.0,23,NN,FM,25,,"Surrey, BC",VE7RHC,,,
70, ERIE2 ,224.82,-,1.6,Tone,100.0,100.0,23,NN,FM,25,,"Anacortes, Mt. Erie",KG7OCP,,,
71, BLYN22,224.10,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Blyn, Sequim",WETNET,,,
99,012424,222.0,,0,,88.5,88.5,23,NN,FM,5,S,"Revision date",N0NE,,,
