Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,RPT-11,146.700000,-,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
2,REV-11,146.100000,+,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
3,DIR-11,146.700000,,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
4,CALL11,146.700000,,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
5,RPT-12,145.250000,-,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
6,REV-12,144.650000,+,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
7,DIR-12,145.250000,,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
8,CALL12,145.250000,,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
10,TAC-10,146.520000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
11,TAC-11,144.310000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
12,TAC-12,146.500000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
13,TAC-13,146.540000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
14,TAC-14,145.530000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
15,TAC-15,146.420000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
16,TAC-16,147.500000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
17,TAC-17,147.400000,,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,,,,,
18,TAC-18,146.460000,,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
19,TAC-19,146.480000,,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
30,NET-11,144.990000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,NET-12,144.950000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,NET-13,145.630000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,NET-14,145.690000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,NET-15,144.970000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,NET-16,144.910000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,NET-17,144.930000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,NET-18,145.610000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,PT-ANG,145.130000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
51,LYMAN1,145.190000,-,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,,,,,
52,SUMMAS,145.230000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
